provinsi,distribusi air bersih,jumlah penduduk miskin,persentase rumah tangga layak sanitasi,pulau,jumlah penduduk(laki-laki),jumlah penduduk(perempuan),total penduduk,jumlah rumah tangga layak sanitasi,
ACEH,38389,829800,67.09,sumatera,2583100,2586400,5169500,693643.51,
SUMATERA UTARA,316639,1326570,74.6,sumatera,7144400,7163900,14308300,2134798.36,
SUMATERA BARAT,91365,359990,56.85,sumatera,2657500,2685300,5342800,607476.36,
RIAU,1643,496390,71.48,sumatera,3382300,3216400,6598700,943350.152,
JAMBI,41755,128430,63.99,sumatera,1776300,1710700,3487000,446266.26,
SUMATERA SELATAN,146106,278610,68.6,sumatera,4205000,4078700,8283700,1136523.64,
BENGKULU,19056,1086760,44.31,sumatera,982300,942600,1924900,170584.638,
LAMPUNG,16297,76200,52.48,sumatera,4250700,4044600,8295300,870674.688,
KEP. BANGKA BELITUNG,5701,302620,85.64,sumatera,731200,681600,1412800,241984.384,
KEP. RIAU,93872,1083740,85.07,sumatera,1078000,1031400,2109400,358893.316,
DKI JAKARTA,499301,393130,90.73,jawa,5182200,5166200,10348400,1877820.664,
JAWA BARAT,395581,3774410,64.73,jawa,24304700,23618100,47922800,6204085.688,
JAWA TENGAH,398425,699830,74.04,jawa,16947400,17209000,34156400,5057879.712,
DI YOGYAKARTA,37224,4197490,88.92,jawa,1863400,1904900,3768300,670154.472,
JAWA TIMUR,656903,466330,68.84,jawa,19394800,19892600,39287400,5409089.232,
BANTEN,226883,4405270,70.65,jawa,6290700,6054400,12345100,1744362.63,
BALI,123643,176480,91.14,bali dan nusa tenggara,2142900,2113100,4256000,775783.68,
NUSA TENGGARA BARAT,59663,748120,73.7,bali dan nusa tenggara,2438400,2563300,5001700,737250.58,
NUSA TENGGARA TIMUR,26959,1134740,50.72,bali dan nusa tenggara,2617000,2665700,5282700,535877.088,
KALIMANTAN BARAT,6386,388810,53.97,kalimatan,2505100,2418000,4923100,531399.414,
KALIMANTAN TENGAH,30373,137880,52.55,kalimatan,1340600,1234100,2574700,270600.97,
KALIMANTAN SELATAN,95903,194560,62.76,kalimatan,2078200,2028600,4106800,515485.536,
KALIMANTAN TIMUR,175295,218670,79.19,kalimatan,1840100,1687000,3527100,558622.098,
KALIMANTAN UTARA,19012,48560,71.75,kalimatan,355600,314400,670000,96145,
SULAWESI UTARA,24949,194560,75.23,sulawesi,1251600,1202200,2453800,369198.748,
SULAWESI TENGAH,17837,200910,64.15,sulawesi,1509200,1451900,2961100,379909.13,
SULAWESI SELATAN,124796,423270,79.61,sulawesi,4239700,4434700,8674400,1381137.968,
SULAWESI TENGGARA,12417,825970,69.9,sulawesi,1295300,1288200,2583500,361173.3,
GORONTALO,1888,149470,64.3,sulawesi,578700,576900,1155600,148610.16,
SULAWESI BARAT,7905,313160,63.21,sulawesi,663700,657100,1320800,166975.536,
MALUKU,10756,320420,69.05,maluku,872800,857300,1730100,238926.81,
MALUKU UTARA,24289,78280,66.96,maluku,613000,588700,1201700,160931.664,
PAPUA BARAT,4757,910420,73.95,papua,483500,435900,919400,135979.26,
PAPUA,17206,212860,33.75,papua,1711300,1541000,3252300,219530.25,
